HHR-DATA-2020-04-1020200410082930
DR10ACCOUNTING               NEW YORK         
DR20RESEARCH                 DALLAS         
DR30SALES                    CHICAGO        
DR40OPERATIONS               BOSTON         
ER7369 SMITH                    CLERK          7902 17/12/1980800   0.1 20
ER7499 ALLEN                    SALESMAN       7698 20/02/19811600  300 30
ER7521 WARD                     SALESMAN       7698 22/02/19811250  500 30
ER7566 JONES                    MANAGER        7839 02/04/19812975      20
ER7654 MARTIN                   SALESMAN       7698 28/09/19811250  140030
ER7698 BLAKE                    MANAGER        7839 01/05/19812850      30
ER7782 CLARK                    MANAGER        7839 09/06/19812450      10
ER7788 SCOTT                    ANALYST        7566 09/12/19823000      20
ER7839 KING                     PRESIDENT           17/11/19815000      10
ER7844 TURNER                   SALESMAN       7698 08/09/19811500      30
ER7876 ADAMS                    CLERK          7788 12/01/19831100      20
ER7900 JAMES                    CLERK          7698 03/12/1981950       30
ER7902 FORD                     ANALYST        7566 03/12/19813000      20
ER7934 MILLER                   CLERK          7782 23/01/19821300      10
T00018
